Date	Time	Severity	PID	TID	Function	Message
07-08-2024	19:28:53.439	 INFO	 44116	 46360	DllMain	"DLL_PROCESS_ATTACH Wed Mar 20 23:29:04 2024 11.3.2414.1"
07-08-2024	19:28:53.446	 INFO	 44116	 46360	DllMain	"PROCESS ATTACHED"
07-08-2024	19:28:53.447	 INFO	 44116	 44564	LateInitialization	"Intialization..."
07-08-2024	19:28:53.450	 INFO	 44116	 44564	LoadDisplayDevicesName	"DisplayDevices : "
07-08-2024	19:28:53.452	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY33"
07-08-2024	19:28:53.453	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY34"
07-08-2024	19:28:53.455	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY35"
07-08-2024	19:28:53.456	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY36"
07-08-2024	19:28:53.458	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY37"
07-08-2024	19:28:53.459	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY38"
07-08-2024	19:28:53.460	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY39"
07-08-2024	19:28:53.461	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY40"
07-08-2024	19:28:53.462	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY41"
07-08-2024	19:28:53.463	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY42"
07-08-2024	19:28:53.464	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY43"
07-08-2024	19:28:53.465	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY44"
07-08-2024	19:28:53.466	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY45"
07-08-2024	19:28:53.468	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY46"
07-08-2024	19:28:53.469	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY47"
07-08-2024	19:28:53.470	 INFO	 44116	 44564	LoadDisplayDevicesName	"\\.\DISPLAY48"
07-08-2024	19:28:53.483	ERROR	 44116	 44564	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
07-08-2024	19:28:53.484	 INFO	 44116	 44564	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\vim.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 119565125
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
07-08-2024	19:28:53.485	 INFO	 44116	 44564	LateInitialization	"Intialization finished"
07-08-2024	20:00:04.252	 INFO	 44116	 42460	DllMain	"DLL_PROCESS_DETACH"
07-08-2024	20:00:04.257	 INFO	 44116	 42460	DllMain	"PROCESS DETACHED"
