Date	Time	Severity	PID	TID	Function	Message
06-08-2024	13:03:08.611	 INFO	 12712	 25108	DllMain	"DLL_PROCESS_ATTACH Wed Mar 20 23:29:04 2024 11.3.2414.1"
06-08-2024	13:03:08.615	 INFO	 12712	 25108	DllMain	"PROCESS ATTACHED"
06-08-2024	13:03:08.618	 INFO	 12712	 25136	LateInitialization	"Intialization..."
06-08-2024	13:03:08.619	 INFO	 12712	 25136	LoadDisplayDevicesName	"DisplayDevices : "
06-08-2024	13:03:08.620	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY1"
06-08-2024	13:03:08.621	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY2"
06-08-2024	13:03:08.623	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY3"
06-08-2024	13:03:08.625	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY4"
06-08-2024	13:03:08.626	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY5"
06-08-2024	13:03:08.627	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY6"
06-08-2024	13:03:08.627	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY7"
06-08-2024	13:03:08.629	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY8"
06-08-2024	13:03:08.630	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY9"
06-08-2024	13:03:08.632	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY10"
06-08-2024	13:03:08.635	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY11"
06-08-2024	13:03:08.637	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY12"
06-08-2024	13:03:08.637	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY13"
06-08-2024	13:03:08.638	 INFO	 12712	 25136	LoadDisplayDevicesName	"\\.\DISPLAY14"
